taxon_oid	Domain	Status	Genome Name	Phylum	Class	Order	Family	Genus	Species	Genome Size	Gene Count	16S rRNA Count
641522631	Archaea	Finished	Halobacterium salinarum R1, DSM 671	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	salinarum	2668776	2801	1
638154504	Archaea	Finished	Halobacterium sp. NRC-1	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	sp.	2571010	2728	1
646564536	Archaea	Finished	Haloferax volcanii DS2, ATCC 29605	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	volcanii	4012900	4064	2
649633053	Archaea	Finished	Halogeometricum borinquense PR3, DSM 11551	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halogeometricum	borinquense	3944467	3993	2
644736372	Archaea	Finished	Halomicrobium mukohataei arg-2, DSM 12286	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium	mukohataei	3332349	3475	3
651053028	Archaea	Finished	Haloquadratum walsbyi C23	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloquadratum	walsbyi	3260476	3044	2
637000129	Archaea	Finished	Haloquadratum walsbyi HBSQ001, DSM 16790	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloquadratum	walsbyi	3179361	2914	2
651324042	Archaea	Draft	Halorhabdus tiamatea SARL4B	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	tiamatea	3840531	4035	1
644736373	Archaea	Finished	Halorhabdus utahensis AX-2, DSM 12940	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	utahensis	3116795	3076	1
643692025	Archaea	Finished	Halorubrum lacusprofundi ATCC 49239	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum	lacusprofundi	3692576	3725	3
646311934	Archaea	Finished	Haloterrigena turkmenica DSM 5511	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena	turkmenica	5440782	5351	3
640069314	Archaea	Finished	Hyperthermus butylicus DSM 5456	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	butylicus	1667163	1669	1
640753029	Archaea	Finished	Ignicoccus hospitalis KIN4/I, DSM 18386	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	hospitalis	1297538	1496	1
648028035	Archaea	Finished	Ignisphaera aggregans AQ1.S1, DSM 17230	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	aggregans	1875953	2042	1
650716051	Archaea	Finished	Metallosphaera cuprina Ar-4	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	cuprina	1840348	2077	1
640427120	Archaea	Finished	Metallosphaera sedula DSM 5348	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	sedula	2191517	2347	1
650716052	Archaea	Finished	Methanobacterium sp. AL-21	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	sp.	2583753	2584	2
650716053	Archaea	Finished	Methanobacterium sp. SWAN-1	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	sp.	2546541	2500	3
646311943	Archaea	Finished	Methanobrevibacter ruminantium M1	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	ruminantium	2937203	2283	2
643886144	Archaea	Draft	Methanobrevibacter smithii DSM 2375	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	smithii	1704865	1748	1
643886215	Archaea	Draft	Methanobrevibacter smithii F1, DSM 2374	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	smithii	1707624	1749	
640427121	Archaea	Finished	Methanobrevibacter smithii PS, ATCC 35061	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	smithii	1853160	1841	2
644736385	Archaea	Finished	Methanocaldococcus fervens AG86	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	fervens	1507251	1663	2
646564547	Archaea	Finished	Methanocaldococcus infernus ME	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	infernus	1328194	1513	2
638154505	Archaea	Finished	Methanocaldococcus jannaschii DSM 2661	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	jannaschii	1739916	1844	2
646564548	Archaea	Finished	Methanocaldococcus sp. FS406-22	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	sp.	1773136	1893	2
646311944	Archaea	Finished	Methanocaldococcus vulcanius M7	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	vulcanius	1761737	1808	2
646311945	Archaea	Finished	Methanocella paludicola SANAE	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	paludicola	2957635	3062	2
640427153	Archaea	Finished	Methanocella sp. RC-I	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	sp.	3179916	3149	3
637000161	Archaea	Finished	Methanococcoides burtonii DSM 6242	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	burtonii	2575032	2506	3
640753034	Archaea	Finished	Methanococcus aeolicus Nankai-3	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	aeolicus	1569500	1554	2
640069316	Archaea	Finished	Methanococcus maripaludis C5	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	maripaludis	1789046	1896	3
641228496	Archaea	Finished	Methanococcus maripaludis C6	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	maripaludis	1744193	1874	3
640753035	Archaea	Finished	Methanococcus maripaludis C7	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	maripaludis	1772694	1858	3
638154506	Archaea	Finished	Methanococcus maripaludis S2	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	maripaludis	1661137	1777	3
640753036	Archaea	Finished	Methanococcus vannielii SB	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	vannielii	1720048	1755	4
646564549	Archaea	Finished	Methanococcus voltae A3	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	voltae	1936387	1768	2
640069317	Archaea	Finished	Methanocorpusculum labreanum Z	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	labreanum	1804962	1830	3
640069318	Archaea	Finished	Methanoculleus marisnigri JR1, DSM 1498	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocullaceae	Methanoculleus	marisnigri	2478101	2560	1
648028039	Archaea	Finished	Methanohalobium evestigatum Z-7303, DSM 3721	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	evestigatum	2406232	2437	2
646564550	Archaea	Finished	Methanohalophilus mahii SLP, DSM 5219	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	mahii	2012424	2095	3
648028040	Archaea	Finished	Methanoplanus petrolearius SEBR 4847, DSM 11571	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	petrolearius	2843290	2881	2
638154507	Archaea	Finished	Methanopyrus kandleri AV19	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	kandleri	1694969	1767	1
650716054	Archaea	Finished	Methanosaeta concilii GP6	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	concilii	3026645	2900	2
639633038	Archaea	Finished	Methanosaeta thermophila PT	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	thermophila	1879471	1785	2
638154508	Archaea	Finished	Methanosarcina acetivorans C2A	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	acetivorans	5751492	4807	3
637000162	Archaea	Finished	Methanosarcina barkeri Fusaro, DSM 804	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	barkeri	4873766	3834	3
638154509	Archaea	Finished	Methanosarcina mazei Go1, DSM 3647	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	mazei	4096345	3469	3
637000163	Archaea	Finished	Methanosphaera stadtmanae DSM 3091	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	stadtmanae	1767403	1592	4
643348525	Archaea	Finished	Methanosphaerula palustris E1-9c, DSM 19958	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula	2922917	2859	3
637000164	Archaea	Finished	Methanospirillum hungatei JF-1	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	hungatei	3544738	3307	4
648028041	Archaea	Finished	Methanothermobacter marburgensis Marburg DSM 2133	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	marburgensis	1639135	1806	2
638154510	Archaea	Finished	Methanothermobacter thermoautotrophicus Delta H	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	thermautotrophicus	1751377	1893	2
650716055	Archaea	Finished	Methanothermococcus okinawensis IH1	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	okinawensis	1677455	1672	2
649633067	Archaea	Finished	Methanothermus fervidus V24S, DSM 2088	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	fervidus	1243342	1352	2
650716056	Archaea	Finished	Methanotorris igneus Kol 5	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	igneus	1854197	1843	2
638154511	Archaea	Finished	Nanoarchaeum equitans Kin4-M	Nanoarchaeota	Nanoarchaea	Nanoarchales	Nanoarchaceae	Nanoarchaeum	equitans	490885	608	7
646564555	Archaea	Finished	Natrialba magadii ATCC 43099	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba	magadii	4443643	4364	3
637000187	Archaea	Finished	Natronomonas pharaonis Gabara, DSM 2160	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronomonas	pharaonis	2749696	2895	1
641228499	Archaea	Finished	Nitrosopumilus maritimus SCM1	Crenarchaeota	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	maritimus	1645259	1842	1
651324076	Archaea	Draft	Nitrosopumilus sp. MY1	Crenarchaeota	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	sp.	1607695	1991	1
638154512	Archaea	Finished	Picrophilus torridus DSM 9790	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	torridus	1545895	1605	1
638154513	Archaea	Finished	Pyrobaculum aerophilum IM2	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	aerophilum	2222430	2625	1
640427135	Archaea	Finished	Pyrobaculum arsenaticum PZ6, DSM 13514	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	arsenaticum	2121076	2410	1
640069326	Archaea	Finished	Pyrobaculum calidifontis JCM 11548	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	calidifontis	2009313	2213	1
639633053	Archaea	Finished	Pyrobaculum islandicum DSM 4184	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	islandicum	1826402	2063	1
638154514	Archaea	Finished	Pyrococcus abyssi GE5	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	abyssi	1768562	2051	1
638154515	Archaea	Finished	Pyrococcus furiosus DSM 3638	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	furiosus	1908256	2179	1
638154516	Archaea	Finished	Pyrococcus horikoshii OT3	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	horikoshii	1738505	2365	1
650716079	Archaea	Finished	Pyrococcus sp. NA2	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	sp.	1861320	2029	1
650716080	Archaea	Finished	Pyrococcus yayanosii CH1	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	yayanosii	1716818	1915	1
646564573	Archaea	Finished	Staphylothermus hellenicus P8, DSM 12710	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	hellenicus	1580347	1716	1
640069332	Archaea	Finished	Staphylothermus marinus F1, DSM 3639	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	marinus	1570485	1659	1
638154517	Archaea	Finished	Sulfolobus acidocaldarius 98-3, DSM 639	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	acidocaldarius	2225959	2343	1
650377981	Archaea	Finished	Sulfolobus islandicus HVE10/4	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2655201	2826	1
646311959	Archaea	Finished	Sulfolobus islandicus L.D.8.5	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2748647	2996	1
643692044	Archaea	Finished	Sulfolobus islandicus L.S.2.15	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2736272	3068	1
643692045	Archaea	Finished	Sulfolobus islandicus M.14.25	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2608832	2900	1
643692046	Archaea	Finished	Sulfolobus islandicus M.16.27	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2692402	2956	1
643692047	Archaea	Finished	Sulfolobus islandicus M.16.4	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2586647	2869	1
650377982	Archaea	Finished	Sulfolobus islandicus REY15A	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2522992	2753	1
643692048	Archaea	Finished	Sulfolobus islandicus Y.G.57.14	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2702058	3079	1
643692049	Archaea	Finished	Sulfolobus islandicus Y.N.15.51	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	islandicus	2854410	3318	1
649990020	Archaea	Draft	Sulfolobus solfataricus 98/2	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	solfataricus	2680466	3150	1
646862347	Archaea	Finished	Sulfolobus solfataricus 98/2	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	solfataricus	2668974	2728	1
638154518	Archaea	Finished	Sulfolobus solfataricus P2	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	solfataricus	2992245	3141	1
638154519	Archaea	Finished	Sulfolobus tokodaii 7, JCM 10545	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	tokodaii	2694756	2982	1
650716096	Archaea	Finished	Thermococcus barophilus MP	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	barophilus	2064237	2315	1
644736411	Archaea	Finished	Thermococcus gammatolerans EJ3	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	gammatolerans	2045438	2206	1
638154520	Archaea	Finished	Thermococcus kodakarensis KOD1	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	kodakaraensis	2088737	2428	1
643348580	Archaea	Finished	Thermococcus onnurineus NA1	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	onnurineus	1847607	2027	1
644736412	Archaea	Finished	Thermococcus sibiricus MM 739	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	sibiricus	1845800	2085	1
650716097	Archaea	Finished	Thermococcus sp. 4557	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	sp.	2011320	2181	1
647533240	Archaea	Draft	Thermococcus sp. AM4	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	sp.	2086739	2218	1
639633064	Archaea	Finished	Thermofilum pendens Hrk 5	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	pendens	1813393	1930	1
638154521	Archaea	Finished	Thermoplasma acidophilum DSM 1728	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	acidophilum	1564906	1580	1
638154522	Archaea	Finished	Thermoplasma volcanium GSS1	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	volcanium	1584804	1615	1
641522657	Archaea	Finished	Thermoproteus neutrophilus V24Sta	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	neutrophilus	1769823	2053	1
650716098	Archaea	Finished	Thermoproteus uzoniensis 768-20	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	uzoniensis	1936063	2224	1
646564583	Archaea	Finished	Thermosphaera aggregans M11TL, DSM 11486	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	aggregans	1316595	1457	1
648028062	Archaea	Finished	Vulcanisaeta distributa DSM 14429	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	distributa	2374137	2592	1
650377985	Archaea	Finished	Vulcanisaeta moutnovskia 768-28	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	moutnovskia	2298983	2365	1
643886181	Bacteria	Draft	Abiotrophia defectiva ATCC 49176	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	morbi	3477404	3342	3
641228474	Bacteria	Finished	Acaryochloris marina MBIC11017	Cyanobacteria	Synechococcophycidae	Synechococcales	Acaryochloridaceae	Acaryochloris	marina	8361599	8488	2
648276600	Bacteria	Draft	Acetivibrio cellulolyticus CD2, DSM 1870	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Acetivibrio	cellulolyticus	6144192	5210	1
644736321	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-01	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3340249	3122	5
646862301	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-01-42C	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3247995	3050	4
646862302	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-03	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3339669	3120	5
646862303	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-07	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3338426	3119	5
646862304	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-12	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3336990	3118	5
646862305	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-22	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3339649	3120	5
646862306	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-26	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3339683	3120	5
646862307	Bacteria	Finished	Acetobacter pasteurianus IFO 3283-32	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pasteurianus	3337040	3118	5
651324000	Bacteria	Draft	Acetobacter pomorum DM001	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	pomorum	2883421	2456	1
651324001	Bacteria	Draft	Acetobacter tropicalis NBRC 101654	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	tropicalis	3718538	3579	1
648028002	Bacteria	Finished	Acetohalobium arabaticum Z-7288, DSM 5501	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	arabaticum	2469596	2438	5
651324002	Bacteria	Draft	Acetonema longum DSM 6540	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Acetonema	longum	4323011	4347	1
641522601	Bacteria	Finished	Acholeplasma laidlawii PG-8A	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	laidlawii	1496992	1422	2
647000200	Bacteria	Draft	Achromobacter piechaudii ATCC 43553	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	piechaudii	6072637	5816	1
649633001	Bacteria	Finished	Achromobacter xylosoxidans A8	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	xylosoxidans	7359146	6885	2
646311901	Bacteria	Finished	Acidaminococcus fermentans DSM 20731	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	fermentans	2329769	2174	6
643886056	Bacteria	Draft	Acidaminococcus sp. D21	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	sp.	2238973	2058	1
644736322	Bacteria	Finished	Acidimicrobium ferrooxidans ICP, DSM 10331	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	ferrooxidans	2158157	2092	2
640427101	Bacteria	Finished	Acidiphilium cryptum JF-5	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	cryptum	3963080	3701	2
650716002	Bacteria	Finished	Acidiphilium multivorum AIU301	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	multivorum	4214744	4004	2
651324003	Bacteria	Draft	Acidiphilium sp. PM	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	sp.	3929465	3908	1
645058727	Bacteria	Draft	Acidithiobacillus caldus ATCC 51756	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	caldus	2946159	2874	2
650716003	Bacteria	Finished	Acidithiobacillus caldus SM-1	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	caldus	3237599	3239	2
651324004	Bacteria	Draft	Acidithiobacillus ferrivorans SS3	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	ferrivorans	3152659	3301	1
643348501	Bacteria	Finished	Acidithiobacillus ferrooxidans ATCC 23270	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	ferrooxidans	2982397	3234	2
642555101	Bacteria	Finished	Acidithiobacillus ferrooxidans ATCC 53993	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	ferrooxidans	2885038	2951	2
643692001	Bacteria	Finished	Acidobacterium capsulatum ATCC 51196	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	capsulatum	4127356	3425	1
639633001	Bacteria	Finished	Acidothermus cellulolyticus 11B	Actinobacteria	Actinobacteria	Actinomycetales	Acidothermaceae	Acidothermus	cellulolyticus	2443540	2229	1
639633002	Bacteria	Finished	Acidovorax avenae citrulli AAC00-1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	avenae	5352772	4868	3
